,features,coef
0,TFPI2,0.0003203527641855634
1,SGCE,0.00030094990403623867
2,PPIC,0.00029429314277531473
3,ATP1B1,0.00027735196905526844
4,DSP,0.0002727985125795661
5,PEG10,0.0002723431729037518
6,MAGEA4,0.0002717263132496334
7,C1S,0.000270334011978285
8,CPVL,0.0002695931017605759
9,GATA6,0.0002618179890793276
10,RP11-490M8.1,0.00025918161813603925
11,MFAP5,0.0002581331423999741
12,MYOF,0.0002573595435580453
13,ALPK2,0.00025526265614832623
14,IFIT1,0.00024823464027344706
15,CYR61,0.0002479135533462124
16,CPE,0.00023839505736240985
17,CALB1,0.0002375297711709575
18,RASGRP1,0.00023687136944118586
19,CNN3,0.00023607919035982267
20,DPYSL3,0.00023488500109537065
21,F3,0.00023253439033259652
22,PRSS23,0.00023250437671454066
23,ARL4C,0.00023062091799210926
24,FADS3,0.00022657884472420032
25,ABLIM1,0.00022486264650369646
26,EVA1A,0.00022417572473078332
27,NUPR1,0.0002218737503090919
28,IFI6,0.00022164865975845839
29,CDH6,0.00022129440117924493
30,INHBB,0.00022119394062639384
31,NUAK2,0.00022104657372772985
32,MMP1,0.000220537705035137
33,TAGLN,0.00021907534161800174
34,SPON1,0.0002169473478412405
35,IFI44L,0.00021657502524474682
36,NTN4,0.00021229842943177587
37,NELL2,0.00021093674928164498
38,GFPT2,0.00020984435888202825
39,SNX7,0.000208170946304002
40,GRAMD3,0.00020655066739832994
41,SYTL2,0.00020618613716078695
42,LIMCH1,0.00020587553643491787
43,RP3-412A9.11,0.00020479678404537686
44,OGFRL1,0.00020266428086297144
45,NUDT11,0.00020263982403629765
46,NPPB,0.0002024413434828954
47,PITX2,0.00019767511864061542
48,CP,0.00019751813162759027
49,AICDA,0.0001974016768509016
50,HEG1,0.00019676954107772853
51,TM4SF18,0.0001964086766690021
52,KLHL13,0.00019604598917466232
53,NPTX2,0.0001950959045853984
54,NMU,0.00019444847413702793
55,ZNF253,0.000192818295558529
56,SCN3A,0.00019252365652302816
57,NUAK1,0.0001918329062168237
58,SCML1,0.0001876193918704836
59,DDR1,0.00018752662267707514
60,BASP1,0.00018731289234948459
61,NGFRAP1,0.00018670586666588197
62,BEX5,0.00018659752985253299
63,LGMN,0.0001841412754099977
64,CLGN,0.0001828271649670899
65,CADM1,0.00018259737047921417
66,ARSJ,0.0001823032231590796
67,IFI27,0.0001811838443838606
68,DKK3,0.00018100547574278456
69,KRT15,0.00018058950211262485
70,CLDN3,0.0001803915878651717
71,NAP1L3,0.00018000024465697226
72,LRIG3,0.0001798183081504921
73,LIFR,0.00017961833620526847
74,DPP4,0.00017949101331561396
75,FAIM,0.00017838077732564267
76,DSG2,0.00017811500719299204
77,ZNF14,0.00017797638660072603
78,PODXL,0.0001770501811235845
79,ISG15,0.000176969279074676
80,LOX,0.00017657264117181345
81,FLG,0.0001765558653854095
82,ANKRD1,0.00017620662760432857
83,VCAM1,0.00017493425794471497
84,HOTAIRM1,0.00017393526364403787
85,DYNLT3,0.00017387690279537202
86,TPM1,0.0001738720947369476
87,PCDHB7,0.00017344469576514756
88,SLPI,0.00017301153821766162
89,NHS,0.00017290927342312112
90,SCG5,0.00017257579449476014
91,VASN,0.00017235648636074524
92,ZNF83,0.00017199016151044178
93,SOGA2,0.00017193446973381703
94,ENPP4,0.00017186366132546156
95,CSRP2,0.00017126733630509736
96,TSPAN6,0.00017106570517577476
97,IFI44,0.00017098987554920044
98,PTPRM,0.00017071001864516443
99,STXBP6,0.00017028482947726014
100,C1orf186,0.00016808786498972178
101,SMAD1,0.0001672237599379533
102,FOLR1,0.00016710523520062546
103,AMOTL2,0.00016682139843585958
104,SLC12A8,0.00016669441628608755
105,KRT7,0.00016646785623078222
106,EIF1AY,0.00016629302570677875
107,SOX17,0.0001650200883185438
108,C12orf23,0.00016429454950413154
109,MET,0.0001641946526245969
110,PLBD1,0.00016399963804915145
111,LRP11,0.00016375935485258853
112,UCHL1,0.00016356200733248715
113,CTD-3064H18.1,0.0001632006764659414
114,FZD7,0.0001628076707255699
115,CDH2,0.00016252517672465973
116,COL12A1,0.00016184566072127498
117,SFTA1P,0.00016159221274736064
118,RP4-639F20.1,0.00016157988145680175
119,TMEM47,0.00016117322384276737
120,GPC4,0.00016091078781500648
121,ABCB1,0.00016083431697454717
122,CRIM1,0.00015939356656027696
123,SLC41A2,0.00015911519657282343
124,C1R,0.0001591119730645951
125,BEX2,0.0001590444994868038
126,SPARC,0.00015901636837972912
127,CLDN16,0.00015861245934730724
128,TUBB2B,0.0001584994434770244
129,LRRN1,0.00015655462666035934
130,SCARA3,0.0001563847132755241
131,SCRN1,0.0001552584060732156
132,CFL2,0.0001551485472843824
133,HHLA3,0.0001551125660388691
134,DDX3Y,0.00015509951045362703
135,F2RL1,0.00015482804985674387
136,MX1,0.0001547238547935607
137,AMPH,0.00015363185736359225
138,DSE,0.00015331614906968533
139,TNFRSF12A,0.00015310041475876193
140,LHFP,0.00015307404504774516
141,FLNB,0.0001525777246340799
142,C12orf75,0.00015220300969713438
143,TMEM45A,0.0001516851517737086
144,TMOD1,0.00015146072973648008
145,C4BPB,0.00015118964426934014
146,MORC4,0.00015069671471714383
147,CHST15,0.00015044671926039385
148,SPSB2,0.0001500986219061159
149,BIK,0.00015000679885911962
150,UST,0.00014981542036945577
151,PDZK1IP1,0.00014955139879191262
152,KAL1,0.00014946873479974786
153,TGFB2,0.00014942780610458544
154,CHN1,0.00014908363506837906
155,RP11-414K1.3,0.0001489800446585457
