,features,coef
0,AKAP12,0.0052389717379443665
1,TP53,0.005081729629174161
2,NLRP3,0.00495587593057334
3,ATRX,0.004695715485832096
4,OBSCN,0.004524581784811356
5,CARD10,0.004360649178811515
6,KRAS,0.00434068569315249
7,ATR,0.004306108766722697
8,FZD1,0.004247861955429918
9,GPR112,0.004120855793882416
10,PIK3R4,0.003998161785055035
11,ADAM29,0.0038582947707537195
12,CSPG4,0.003701109326203245
13,YSK4,0.00369233752467285
14,MYST3,0.003689159875639224
15,ALK,0.0036888015636358635
16,ROCK2,0.0036353515401538945
17,ZNF521,0.0036130208451810547
18,VPS13B,0.003494241442494487
19,TAF1,0.003373460743663433
20,NCOA3,0.003322872863210562
21,TG,0.0032909101246881437
22,CIT,0.0032872833768240652
23,LRP1B,0.0032565535939401234
24,AAK1,0.0032272295399588093
25,UBR5,0.003187674052753345
26,RET,0.0031231864750705107
27,PLD1,0.003093260031139835
28,OR2L13,0.0030398692740810423
29,NIPBL,0.0030208233288892337
30,MLLT10,0.0029934041562556597
31,AIFM3,0.0029770133755788897
32,PHIP,0.002873827037041086
33,TNN,0.00286088187900725
34,ABL2,0.002847056313598732
35,SNX19,0.002797821704044731
36,TYK2,0.0027969143727934478
37,NRK,0.002689838323737965
38,RIMS2,0.002682500167914241
39,LATS1,0.002639136280673888
40,ITIH5L,0.0026030963205137545
41,CLTC,0.0025983078643263087
42,MET,0.0025850031069774735
43,RBL1,0.0025564857317783834
44,LRP1,0.002553467299161459
45,ROS1,0.0025344822914660278
46,EIF4G1,0.002517565500234459
47,DYRK4,0.0025099968725285473
48,NEK5,0.002500840759009723
49,AGAP2,0.0024390843229431347
50,SMG1,0.0024276080794444358
51,CAMKV,0.002422491860075312
52,BIRC2,0.002399001864762066
53,MCF2,0.0023656546056653517
54,TRPS1,0.0023647540668253492
55,SIK2,0.0023468916621228004
56,FANCD2,0.002309466441805096
57,ARID1A,0.002306847010898939
58,MAP3K10,0.0023027846148643196
59,ICK,0.0022886660664059007
60,URB2,0.002263006721547047
61,EIF2AK3,0.0022567062829012834
62,HSP90B1,0.002256299339612103
63,NUP210,0.0022381976512344764
64,MAP3K4,0.00223302922714859
65,MALT1,0.0022065235083481034
66,PIK3C2B,0.002203194497948482
67,KIT,0.002201617511273665
68,CDH11,0.0021869487776006898
69,RALBP1,0.002186282638059415
70,APC,0.002183718620927354
71,FES,0.0021566073239425547
72,HIF1A,0.002152810230500381
73,MYST4,0.0021379698459339925
74,ERCC6,0.0021154589218623874
75,PHF3,0.002088333859550426
76,CDC73,0.002059303853250613
77,SH3GL1,0.002047070411918908
78,HNF1A,0.002040276103155281
79,UBE2O,0.0020363401106234767
80,ADAMTSL3,0.002020923741937432
81,PRKCG,0.0020054254931026337
82,TRIM36,0.0020044571035200505
83,PIK3CA,0.001987578459326479
84,IRAK3,0.0019875539124245855
85,HNRNPH1,0.0019613711115180473
86,NTRK3,0.0019605528748168496
87,IKBKE,0.0019579939087329473
88,ASPH,0.0019420503486987728
89,NIN,0.0019408184827010154
90,CSF1R,0.0019350024851730598
91,ERG,0.0019315375642831034
92,TLE1,0.001909216338770012
93,STAT1,0.0019060730996699853
94,RB1,0.0019059424251159055
95,ZAK,0.0019051103051367167
96,USP6,0.0018976543167021978
97,PPARGC1A,0.0018876812441070369
98,BUB1,0.0018649778231752299
99,ERN2,0.001845848059300903
100,AXL,0.0018319203462297405
101,NBN,0.001823148634167381
102,PRKCB,0.0018194090801169787
103,CSPP1,0.0018166984561331896
104,GLG1,0.0018011794731156254
105,C15orf2,0.001790250863924701
106,NUP214,0.0017828113836255476
107,VRK3,0.0017796356505154513
108,PRDM16,0.0017779993961773433
109,ATP11A,0.0017736866140775002
110,CEP110,0.0017730296209715706
111,ABCA3,0.0017699530756538138
112,CDK2,0.0017687022593882574
113,CDKN2A,0.00176865702836954
114,CYB5R4,0.0017460008880345668
115,CDKL3,0.0017414343522139583
116,LIFR,0.0017320843170164735
117,NSD1,0.001720977443368416
118,GLI2,0.001718922468760523
119,C6orf97,0.0016908981166822755
120,IL1B,0.0016902881808781884
121,PPP1R3A,0.0016826093374785083
122,RAG1,0.0016822251459673036
123,SMARCA4,0.0016794670678398147
124,CASP2,0.0016783253526217706
125,TSSK2,0.00167226687426984
126,KTN1,0.001669230446633785
127,TLR3,0.00166695897460969
128,MMP8,0.0016605120915442937
129,BRCA2,0.0016493444724107892
130,HDAC3,0.0016477664531651425
131,ADRBK2,0.0016470097549931312
132,NCOA1,0.0016433988909056157
133,MLL3,0.0016379383820179939
134,ALS2,0.0016275908009637326
135,NCOA2,0.00162464480430621
136,XPA,0.0016243756401199808
137,DBF4,0.0016220912544043342
138,PATZ1,0.0016189297035818168
139,REM1,0.0016180192330207
140,MAP4K3,0.0016090337580631998
141,WNK2,0.0016071748193176487
142,FN1,0.0015971067729849838
143,RARB,0.001590166384593369
144,NGFR,0.0015864185359844144
145,ARHGEF10,0.0015779075052171107
146,MAPK7,0.0015752922241340874
147,KDM5A,0.0015634331363415103
148,FLT1,0.0015491132344145
149,ALPK2,0.001541625774773869
150,SLK,0.001539537532706501
151,TIE1,0.0015278353131272446
152,APBB1IP,0.0015239175334698135
153,STK17A,0.001523743377085
154,GCNT2,0.0015178103221714016
155,TXK,0.0015131923019940704
156,CASC5,0.0015100990208706901
157,VRK2,0.0015068101848501102
158,ITGB1,0.0015059532210643244
159,RIOK2,0.0015056387892421696
160,MED13L,0.0014963663931066317
161,CCNA2,0.0014945013221459586
162,GNAS,0.0014927987797723255
163,COL1A1,0.0014728146976596406
164,RIPK1,0.0014691277566269414
165,PRKCI,0.0014567172860740043
166,FLNB,0.0014531202849081093
167,INSR,0.0014456324160027649
168,PPP3R2,0.0014290495747571758
169,CHL1,0.0014274637442300592
170,HDLBP,0.0014211622624116084
171,CHRNA5,0.0014156200089830574
172,ERBB3,0.0014072341072058606
173,MYLK3,0.0014066984762384621
174,ALPK3,0.001400451997737641
175,TAB1,0.0013997014254150068
